productId,description,brand,price,size,inventory,fulfillment
"0007273021312","Prairie Farms Whole Vitamin D Milk","Prairie Farms","2.89","1 qt","TEMPORARILY_OUT_OF_STOCK","inStore:false; curbside:false; delivery:false; shipToHome:false"
"0007290400003","Meyenberg Fresh Whole Goat Milk, Quart, Certified Humane, Kosher, Gluten Free, Easy to Digest","Meyenberg","6.99","32 fl oz","LOW","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0007273023216","Prairie Farms® Fat Free Milk","Prairie Farms","3.79","0.5 gal","TEMPORARILY_OUT_OF_STOCK","inStore:false; curbside:false; delivery:false; shipToHome:false"
"0007273021110","Prairie Farms® Whole Vitamin D Milk","Prairie Farms","5.99","1 gal","TEMPORARILY_OUT_OF_STOCK","inStore:false; curbside:false; delivery:false; shipToHome:false"
"0007273022202","Prairie Farms® 2% Reduced Fat Milk","Prairie Farms","3.99","0.5 gal","TEMPORARILY_OUT_OF_STOCK","inStore:false; curbside:false; delivery:false; shipToHome:false"
"0081326702023","Hershey's A2 2% Reduced Fat Chocolate Milk 12 - 8 fl oz Boxes","Hershey's","13.99","12 ct / 8 fl oz","TEMPORARILY_OUT_OF_STOCK","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0085631200275","fairlife Ultra-Filtered Milk, Lactose Free, High Protein, Fat Free Milk","Fairlife","5.99","52 fl oz","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0005200006688","Muscle Milk® Cookies ‘N Creme High Protein Shake Multipack","Muscle Milk","8.99","4 pk / 11 fl oz","TEMPORARILY_OUT_OF_STOCK","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0085631200277","fairlife Ultra-Filtered Milk, Lactose Free, High Protein, 2% Reduced Fat Milk","Fairlife","5.99","52 fl oz","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0001111008243","Kroger® Lactose Free 1% Low Fat Milk Half Gallon","Kroger","3.49","1/2 gal","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0074236500767","Horizon Organic Shelf Stable Whole Milk","Horizon Organic","8.49","6 ct / 8 fl oz","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0001111008163","Kroger® Lactose Free Skim Milk Half Gallon","Kroger","3.49","1/2 gal","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0001111085333","Kroger® Lactose Free Vitamin D Milk Half Gallon","Kroger","3.49","1/2 gal","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0007273022110","Prairie Farms® 2% Reduced Fat Milk","Prairie Farms","5.99","1 gal","TEMPORARILY_OUT_OF_STOCK","inStore:false; curbside:false; delivery:false; shipToHome:false"
"0074236500707","Horizon Organic Grassfed Vitamin D Whole Milk","Horizon Organic","7.99","59 fl oz","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0001111042712","Kroger® Cultured Whole Milk Buttermilk Half Gallon","Kroger","4.99","1/2 gal","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
"0001111001129","Simple Truth Organic® Vitamin D Whole Milk Gallon","Simple Truth Organic","8.49","1 gal","HIGH","inStore:true; curbside:true; delivery:true; shipToHome:false"
